City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,coquimbo,-29.9533,-71.3436,11.85,100,100,3.09,CL,2024-06-11
191,pocone,-16.2567,-56.6228,25.69,34,17,0.92,BR,2024-06-11
192,horta,38.5333,-28.6333,17.79,84,63,2.24,PT,2024-06-11
193,as sulayyil,20.4607,45.5779,33.14,14,1,3.28,SA,2024-06-11
194,meulaboh,4.1363,96.1285,25.42,90,100,2.15,ID,2024-06-11
195,saint-joseph,-21.3667,55.6167,22.21,86,100,5.1,RE,2024-06-11
196,kota bharu,6.1333,102.2386,25.97,89,20,1.03,MY,2024-06-11
197,akureyri,65.6835,-18.0878,5.96,93,75,5.14,IS,2024-06-11
198,zwedru,6.0667,-8.1281,22.73,99,100,1.75,LR,2024-06-11
199,siguiri,11.6667,-9.5,28.83,58,82,0.8,GN,2024-06-11
200,laguna,38.421,-121.4238,40.19,29,0,3.6,US,2024-06-11
201,jaszbereny,47.5,19.9167,17.94,86,41,0.45,HU,2024-06-11
202,port augusta,-32.5,137.7667,12.93,89,33,1.06,AU,2024-06-11
203,sinnar,13.5691,33.5672,30.17,53,98,4.25,SD,2024-06-11
204,al bardiyah,31.7561,25.0865,25.01,49,0,1.42,LY,2024-06-11
205,jolo,6.05,121.0167,27.05,80,100,0.4,PH,2024-06-11
206,grand falls-windsor,48.9332,-55.6649,16.95,92,50,1.58,CA,2024-06-11
207,yendi,9.4427,-0.0099,27.1,71,40,2.21,GH,2024-06-11
208,sisimiut,66.9395,-53.6735,3.95,98,100,1.27,GL,2024-06-11
209,dul'durga,50.6761,113.5931,13.76,77,90,3.03,RU,2024-06-11
210,rio grande,-32.035,-52.0986,18.06,92,100,6.2,BR,2024-06-11
211,ghat,24.9647,10.1728,33.35,8,0,2.2,LY,2024-06-11
212,island harbour,50.724,-1.2758,12.78,72,82,2.24,GB,2024-06-11
213,aral,40.5156,81.2636,25.47,29,58,2.73,CN,2024-06-11
214,mount pleasant,32.7941,-79.8626,29.43,71,0,4.12,US,2024-06-11
215,callaway,30.153,-85.5699,34.39,47,40,3.09,US,2024-06-11
216,carbondale,37.7273,-89.2168,26.0,33,0,2.06,US,2024-06-11
217,dudinka,69.4058,86.1778,5.38,85,100,4.92,RU,2024-06-11
218,carnarvon,-24.8667,113.6333,19.25,88,100,3.13,AU,2024-06-11
219,brak,27.5496,14.2714,33.26,12,0,2.5,LY,2024-06-11
220,kattivakkam,13.2167,80.3167,29.05,91,100,4.38,IN,2024-06-11
221,afaahiti,-17.75,-149.2833,27.93,66,50,8.46,PF,2024-06-11
222,darwin,-12.4611,130.8418,21.08,87,0,3.6,AU,2024-06-11
223,harstad,68.799,16.5293,10.66,97,72,1.34,NO,2024-06-11
224,huarmey,-10.0681,-78.1522,19.35,80,48,3.03,PE,2024-06-11
225,tarawa,1.419,172.984,31.05,70,40,4.12,KI,2024-06-11
226,kununurra,-15.7667,128.7333,13.99,94,51,0.0,AU,2024-06-11
227,preobrazheniye,42.9019,133.9064,18.34,88,92,2.5,RU,2024-06-11
228,taupo,-38.6833,176.0833,8.57,68,5,1.38,NZ,2024-06-11
229,port lincoln,-34.7333,135.8667,14.2,83,66,4.15,AU,2024-06-11
230,puerto ayora,-0.7393,-90.3518,27.98,95,97,1.34,EC,2024-06-11
231,liezen,47.5667,14.2333,8.68,99,100,1.36,AT,2024-06-11
232,quepos,9.4236,-84.1652,26.8,85,100,0.71,CR,2024-06-11
233,keningau,5.3378,116.1602,22.3,98,97,0.4,MY,2024-06-11
234,pul-e khumri,35.9446,68.7151,27.23,23,0,1.85,AF,2024-06-11
235,moengo,5.6167,-54.4,22.77,100,100,0.94,SR,2024-06-11
236,umba,66.6871,34.3429,6.22,98,87,2.71,RU,2024-06-11
237,lesnoy,57.6198,63.0784,13.67,80,58,2.58,RU,2024-06-11
238,fuerte olimpo,-21.0415,-57.8738,26.76,37,0,2.79,PY,2024-06-11
239,murzuq,25.9155,13.9184,32.17,12,0,1.7,LY,2024-06-11
240,lerwick,60.1545,-1.1494,8.0,73,100,8.01,GB,2024-06-11
241,kruisfontein,-34.0033,24.7314,20.49,30,53,7.98,ZA,2024-06-11
242,waiuku,-37.25,174.75,13.94,92,60,2.01,NZ,2024-06-11
243,westport,41.1415,-73.3579,22.75,62,75,2.57,US,2024-06-11
244,lorengau,-2.0226,147.2712,28.54,78,100,1.31,PG,2024-06-11
245,labrador city,52.9463,-66.9114,20.1,24,40,1.03,CA,2024-06-11
246,juneau,58.3019,-134.4197,17.0,100,20,5.66,US,2024-06-11
247,kanpur,26.4667,80.35,34.26,26,74,2.73,IN,2024-06-11
248,selfoss,63.9331,-20.9971,8.91,90,8,2.41,IS,2024-06-11
249,le port,-20.9373,55.2919,23.0,82,100,3.0,RE,2024-06-11
250,porto velho,-8.7619,-63.9039,28.03,74,40,0.51,BR,2024-06-11
251,puerto baquerizo moreno,-0.9,-89.6,24.55,73,20,8.23,EC,2024-06-11
252,enterprise,36.0252,-115.2419,41.76,10,0,3.09,US,2024-06-11
253,pemangkat,1.1667,108.9667,26.0,87,91,1.82,ID,2024-06-11
254,dryden,49.7833,-92.7503,13.16,88,100,6.17,CA,2024-06-11
255,houlton,46.1262,-67.8403,22.62,73,100,1.54,US,2024-06-11
256,cajazeiras,-6.8903,-38.5553,29.07,43,70,4.41,BR,2024-06-11
257,severnoye,56.3491,78.3619,15.55,91,100,5.81,RU,2024-06-11
258,kerikeri,-35.2268,173.9474,14.39,80,1,1.34,NZ,2024-06-11
259,ulsteinvik,62.3432,5.8487,9.06,84,100,4.47,NO,2024-06-11
260,adrar,20.5022,-10.0711,31.55,19,5,5.76,MR,2024-06-11
261,ola,59.5833,151.2833,10.08,60,92,2.2,RU,2024-06-11
262,rokiskis,55.9667,25.5833,9.42,95,46,3.51,LT,2024-06-11
263,beau vallon,-20.4189,57.6953,24.01,78,20,7.2,MU,2024-06-11
264,ronne,55.1009,14.7066,12.95,82,75,7.72,DK,2024-06-11
265,zouerate,22.7187,-12.4521,28.56,25,10,5.72,MR,2024-06-11
266,inhambane,-23.865,35.3833,20.36,63,78,2.26,MZ,2024-06-11
267,opuwo,-18.0607,13.84,16.37,41,0,3.69,NA,2024-06-11
268,bandarbeyla,9.4942,50.8122,26.13,79,96,10.7,SO,2024-06-11
269,taro,-8.3862,115.28,22.0,100,87,0.66,ID,2024-06-11
270,enewetak,11.3474,162.3373,28.18,80,95,9.09,MH,2024-06-11
271,gadzhiyevo,69.2551,33.3362,6.12,96,85,3.33,RU,2024-06-11
272,usogorsk,63.4106,48.6872,14.26,99,89,1.5,RU,2024-06-11
273,bonchamp-les-laval,48.0736,-0.7,10.06,81,0,1.54,FR,2024-06-11
274,florence,43.7667,11.25,20.03,70,40,3.09,IT,2024-06-11
275,gueugnon,46.6036,4.0629,11.07,82,86,1.61,FR,2024-06-11
276,soligalich,59.0778,42.2864,17.6,99,100,1.25,RU,2024-06-11
277,weesp,52.3075,5.0417,11.14,92,20,2.24,NL,2024-06-11
278,gamboma,-1.8764,15.8644,24.04,44,62,1.1,CG,2024-06-11
279,copala,16.65,-98.9833,28.97,68,56,3.55,MX,2024-06-11
280,necochea,-38.5473,-58.7368,11.01,69,42,3.9,AR,2024-06-11
281,gaigeturi,33.4644,126.3183,21.03,78,100,1.54,KR,2024-06-11
282,kismayo,-0.3582,42.5454,25.78,79,51,8.12,SO,2024-06-11
283,santa luzia,-19.7697,-43.8514,23.5,51,0,3.6,BR,2024-06-11
284,fauske,67.2588,15.3918,9.32,92,100,1.88,NO,2024-06-11
285,nabire,-3.3667,135.4833,26.04,85,98,1.3,ID,2024-06-11
286,mana,5.6592,-53.7767,25.01,90,100,2.85,GF,2024-06-11
287,ain oussera,35.4514,2.9058,20.14,55,0,5.06,DZ,2024-06-11
288,pandan,14.0453,124.1694,28.97,78,30,2.11,PH,2024-06-11
289,happy valley-goose bay,53.3168,-60.3315,14.17,62,20,3.09,CA,2024-06-11
290,luwingu,-10.2621,29.9271,10.6,77,40,2.31,ZM,2024-06-11
291,san juan de miraflores,-12.1629,-76.9635,22.87,76,100,1.61,PE,2024-06-11
292,daru,-9.0763,143.2092,25.46,87,100,7.39,PG,2024-06-11
293,ingeniero jacobacci,-41.3427,-69.5448,6.72,81,100,1.4,AR,2024-06-11
294,taksimo,56.3444,114.8794,15.58,75,91,0.83,RU,2024-06-11
295,smithers,54.7804,-127.1743,10.18,93,100,1.54,CA,2024-06-11
296,nemuro,43.3236,145.575,12.12,94,96,0.98,JP,2024-06-11
297,mariinskiy posad,56.115,47.718,21.52,90,100,4.6,RU,2024-06-11
298,lompoc,34.6391,-120.4579,22.14,75,0,6.17,US,2024-06-11
299,bamboo flat,11.7,92.7167,28.05,89,40,2.57,IN,2024-06-11
300,eureka,40.8021,-124.1637,26.48,78,20,4.47,US,2024-06-11
301,fortaleza,-3.7227,-38.5247,27.9,78,0,3.6,BR,2024-06-11
302,sechura,-5.5569,-80.8222,22.66,65,27,7.26,PE,2024-06-11
303,paita,-5.0892,-81.1144,19.67,82,23,6.16,PE,2024-06-11
304,fort st. john,56.2499,-120.8529,16.94,36,75,1.03,CA,2024-06-11
305,bac giang,21.2667,106.2,28.04,86,87,1.59,VN,2024-06-11
306,nishinoomote,30.7333,131.0,23.49,86,100,9.12,JP,2024-06-11
307,northam,51.0333,-4.2167,11.45,76,91,3.06,GB,2024-06-11
308,xai-xai,-25.0519,33.6442,16.82,87,3,1.45,MZ,2024-06-11
309,arkhangel'sk,64.5401,40.5433,12.85,100,40,2.0,RU,2024-06-11
310,touros,-5.1989,-35.4608,25.66,84,11,5.52,BR,2024-06-11
311,kristiansund,63.1115,7.732,9.03,87,100,1.03,NO,2024-06-11
312,north bend,43.4065,-124.2243,20.69,67,100,9.26,US,2024-06-11
313,bardai,11.65,7.2333,24.59,65,89,2.7,NG,2024-06-11
314,manado,1.487,124.8455,24.43,94,20,0.51,ID,2024-06-11
315,zakamensk,50.3741,103.2863,9.24,83,39,0.79,RU,2024-06-11
316,benguela,-12.5763,13.4055,21.27,87,12,0.63,AO,2024-06-11
317,hastings,50.8552,0.5729,11.07,82,94,3.73,GB,2024-06-11
318,beaudesert,-27.9833,152.9833,19.27,54,55,1.64,AU,2024-06-11
319,peace river,56.2501,-117.286,14.17,76,75,0.0,CA,2024-06-11
320,thongwa,16.7619,96.5278,25.09,90,100,2.03,MM,2024-06-11
321,borogontsy,62.6683,131.1683,18.01,60,72,1.8,RU,2024-06-11
322,saudarkrokur,65.7461,-19.6394,9.77,68,12,0.7,IS,2024-06-11
323,sinabang,2.4803,96.3801,25.92,85,100,0.51,ID,2024-06-11
324,loa janan,-0.583,117.095,23.74,97,77,0.52,ID,2024-06-11
325,kunashak,55.7032,61.5498,18.29,86,68,2.94,RU,2024-06-11
326,hami,42.8,93.45,28.26,21,56,5.64,CN,2024-06-11
327,vernon,50.2581,-119.2691,26.2,28,60,12.52,CA,2024-06-11
328,antsiranana,-12.2787,49.2917,23.95,74,100,3.47,MG,2024-06-11
329,sao felix do xingu,-6.6447,-51.995,25.17,58,93,1.5,BR,2024-06-11
330,mkushi,-13.6202,29.3939,9.87,68,4,3.26,ZM,2024-06-11
331,queenstown,-31.8976,26.8753,11.23,30,100,4.92,ZA,2024-06-11
332,dunedin,-45.8742,170.5036,8.22,70,81,3.58,NZ,2024-06-11
333,ixtapa,20.7,-105.2,27.35,82,76,0.89,MX,2024-06-11
334,isangel,-19.55,169.2667,26.06,83,40,2.57,VU,2024-06-11
335,klaksvik,62.2266,-6.589,7.51,79,97,5.9,FO,2024-06-11
336,ciudad rio bravo,25.9833,-98.1,39.6,40,5,8.42,MX,2024-06-11
337,don luan,11.5333,106.9167,25.52,95,45,0.69,VN,2024-06-11
338,alo,7.4178,6.7371,23.68,92,85,0.81,NG,2024-06-11
339,aur,8.1499,171.1687,28.12,82,35,7.51,MH,2024-06-11
340,utrik,11.2278,169.8474,27.9,82,44,9.88,MH,2024-06-11
341,tinghir,31.5157,-5.5343,22.33,41,72,1.09,MA,2024-06-11
342,rudnyy,52.9594,63.1206,11.13,67,23,1.63,KZ,2024-06-11
343,lake city,30.1897,-82.6393,33.81,55,40,3.09,US,2024-06-11
344,tangalle,6.024,80.7911,26.24,90,99,5.64,LK,2024-06-11
345,posto fiscal rolim de moura,-13.0833,-62.2667,28.27,46,59,0.4,BR,2024-06-11
